% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 2c.4g.24gb, 1440.0 MHz clock, 24092.4 MiB memory, capability 8.0
% Mon Mar 13 22:20:31 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
  128   128   128     37.19 (   0.11)      20.08 (   0.21)     ---   (  ---  )    0.00e+00        ---    ok
  256   256   256    302.01 (   0.11)     364.60 (   0.09)     ---   (  ---  )    0.00e+00        ---    ok
  384   384   384    560.79 (   0.20)     927.71 (   0.12)     ---   (  ---  )    0.00e+00        ---    ok
  512   512   512    805.94 (   0.33)    1588.01 (   0.17)     ---   (  ---  )    3.16e-18        ---    ok
  640   640   640   1052.67 (   0.50)    1942.60 (   0.27)     ---   (  ---  )    2.27e-18        ---    ok
  768   768   768   1110.11 (   0.82)    2352.89 (   0.39)     ---   (  ---  )    1.73e-18        ---    ok
  896   896   896   1291.55 (   1.11)    2735.32 (   0.53)     ---   (  ---  )    2.37e-18        ---    ok
 1024  1024  1024   1260.98 (   1.70)    2589.76 (   0.83)     ---   (  ---  )    2.00e-17        ---    ok
 1152  1152  1152   1342.20 (   2.28)    2805.67 (   1.09)     ---   (  ---  )    2.21e-17        ---    ok
 1280  1280  1280   1347.34 (   3.11)    2639.49 (   1.59)     ---   (  ---  )    2.26e-17        ---    ok
 1408  1408  1408   1365.32 (   4.09)    2770.70 (   2.01)     ---   (  ---  )    2.24e-17        ---    ok
 1536  1536  1536   1405.16 (   5.16)    2572.07 (   2.82)     ---   (  ---  )    1.22e-18        ---    ok
