% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 4g.24gb, 1440.0 MHz clock, 24092.4 MiB memory, capability 8.0
% Mon Mar 13 22:24:24 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
  128   128   128     26.22 (   0.16)      18.66 (   0.22)     ---   (  ---  )    0.00e+00        ---    ok
  256   256   256    284.32 (   0.12)     277.04 (   0.12)     ---   (  ---  )    4.44e-18        ---    ok
  384   384   384    720.77 (   0.16)     969.37 (   0.12)     ---   (  ---  )    0.00e+00        ---    ok
  512   512   512   1074.33 (   0.25)    2047.09 (   0.13)     ---   (  ---  )    0.00e+00        ---    ok
  640   640   640   1783.47 (   0.29)    2624.13 (   0.20)     ---   (  ---  )    2.27e-18        ---    ok
  768   768   768   1924.01 (   0.47)    3538.09 (   0.26)     ---   (  ---  )    1.73e-18        ---    ok
  896   896   896   1981.65 (   0.73)    4243.40 (   0.34)     ---   (  ---  )    2.09e-17        ---    ok
 1024  1024  1024   2225.10 (   0.97)    4051.82 (   0.53)     ---   (  ---  )    2.24e-18        ---    ok
 1152  1152  1152   2525.05 (   1.21)    4876.31 (   0.63)     ---   (  ---  )    2.21e-17        ---    ok
 1280  1280  1280   2427.18 (   1.73)    5411.32 (   0.78)     ---   (  ---  )    2.29e-17        ---    ok
 1408  1408  1408   2618.56 (   2.13)    5609.77 (   1.00)     ---   (  ---  )    2.28e-17        ---    ok
 1536  1536  1536   2596.90 (   2.79)    5849.39 (   1.24)     ---   (  ---  )    2.23e-17        ---    ok
 1664  1664  1664   2625.32 (   3.51)    5884.60 (   1.57)     ---   (  ---  )    2.16e-17        ---    ok
 1792  1792  1792   2814.09 (   4.09)    6122.13 (   1.88)     ---   (  ---  )    2.09e-17        ---    ok
 1920  1920  1920   2713.85 (   5.22)    6080.87 (   2.33)     ---   (  ---  )    2.01e-17        ---    ok
 2048  2048  2048   2757.24 (   6.23)    5998.30 (   2.86)     ---   (  ---  )    1.59e-18        ---    ok
 2176  2176  2176   2672.31 (   7.71)    5746.32 (   3.59)     ---   (  ---  )    2.11e-17        ---    ok
 2304  2304  2304   2767.08 (   8.84)    5803.36 (   4.22)     ---   (  ---  )    2.20e-17        ---    ok
 2432  2432  2432   2861.39 (  10.05)    6023.60 (   4.78)     ---   (  ---  )    1.23e-18        ---    ok
 2560  2560  2560   2864.19 (  11.72)    6128.61 (   5.48)     ---   (  ---  )    1.14e-18        ---    ok
 2688  2688  2688   2778.33 (  13.98)    6381.56 (   6.09)     ---   (  ---  )    1.05e-18        ---    ok
 2816  2816  2816   2800.23 (  15.95)    6382.12 (   7.00)     ---   (  ---  )    9.85e-19        ---    ok
 2944  2944  2944   2656.39 (  19.21)    6066.49 (   8.41)     ---   (  ---  )    9.20e-19        ---    ok
 3072  3072  3072   2752.78 (  21.06)    6318.87 (   9.18)     ---   (  ---  )    8.64e-19        ---    ok
 3200  3200  3200   2860.84 (  22.91)    6218.39 (  10.54)     ---   (  ---  )    8.13e-19        ---    ok
 3328  3328  3328   2900.16 (  25.42)    6445.57 (  11.44)     ---   (  ---  )    7.66e-19        ---    ok
 3456  3456  3456   2896.52 (  28.50)    6445.77 (  12.81)     ---   (  ---  )    8.00e-19        ---    ok
 3584  3584  3584   3154.61 (  29.19)    7018.84 (  13.12)     ---   (  ---  )    1.28e-18        ---    ok
 3712  3712  3712   3160.17 (  32.37)    6466.16 (  15.82)     ---   (  ---  )    1.30e-18        ---    ok
 3840  3840  3840   2922.63 (  38.75)    6505.81 (  17.41)     ---   (  ---  )    1.23e-18        ---    ok
 3968  3968  3968   3821.42 (  32.70)    8547.90 (  14.62)     ---   (  ---  )    1.18e-18        ---    ok
 4096  4096  4096   4359.66 (  31.53)    9800.25 (  14.02)     ---   (  ---  )    1.12e-18        ---    ok
 4224  4224  4224   4405.77 (  34.21)    9806.73 (  15.37)     ---   (  ---  )    1.07e-18        ---    ok
 4352  4352  4352   2943.23 (  56.01)    7353.98 (  22.42)     ---   (  ---  )    1.02e-18        ---    ok
 4480  4480  4480   3757.52 (  47.86)    8396.58 (  21.42)     ---   (  ---  )    9.80e-19        ---    ok
 4608  4608  4608   2948.28 (  66.37)    8498.63 (  23.03)     ---   (  ---  )    9.39e-19        ---    ok
 4736  4736  4736   3793.68 (  56.00)    8476.47 (  25.06)     ---   (  ---  )    9.01e-19        ---    ok
 4864  4864  4864   3837.69 (  59.97)    9029.01 (  25.49)     ---   (  ---  )    8.67e-19        ---    ok
 4992  4992  4992   4275.60 (  58.19)    9895.89 (  25.14)     ---   (  ---  )    8.33e-19        ---    ok
 5120  5120  5120   4203.63 (  63.86)    9368.84 (  28.65)     ---   (  ---  )    8.02e-19        ---    ok
 5248  5248  5248   4164.15 (  69.42)    9882.31 (  29.25)     ---   (  ---  )    7.74e-19        ---    ok
 5376  5376  5376   2966.37 ( 104.76)    9132.10 (  34.03)     ---   (  ---  )    7.45e-19        ---    ok
 5504  5504  5504   2939.60 ( 113.44)    9882.86 (  33.74)     ---   (  ---  )    7.20e-19        ---    ok
 5632  5632  5632   2954.60 ( 120.93)    7139.32 (  50.05)     ---   (  ---  )    6.95e-19        ---    ok
 5760  5760  5760   2943.54 ( 129.85)    9840.27 (  38.84)     ---   (  ---  )    6.73e-19        ---    ok
 5888  5888  5888   2954.82 ( 138.17)    8437.65 (  48.39)     ---   (  ---  )    6.50e-19        ---    ok
 6016  6016  6016   2966.04 ( 146.82)    9714.97 (  44.82)     ---   (  ---  )    6.30e-19        ---    ok
 6144  6144  6144   2963.58 ( 156.52)    9747.56 (  47.59)     ---   (  ---  )    6.11e-19        ---    ok
 6272  6272  6272   3127.67 ( 157.77)    9697.84 (  50.88)     ---   (  ---  )    5.92e-19        ---    ok
 6400  6400  6400   3159.14 ( 165.96)    9516.24 (  55.09)     ---   (  ---  )    5.74e-19        ---    ok
 6528  6528  6528   2968.64 ( 187.42)    9640.63 (  57.71)     ---   (  ---  )    5.57e-19        ---    ok
 6656  6656  6656   3267.28 ( 180.50)    9488.71 (  62.15)     ---   (  ---  )    5.42e-19        ---    ok
 6784  6784  6784   3249.58 ( 192.16)    9303.13 (  67.12)     ---   (  ---  )    5.26e-19        ---    ok
 6912  6912  6912   2964.08 ( 222.82)    9324.61 (  70.83)     ---   (  ---  )    5.27e-19        ---    ok
 7040  7040  7040   3217.41 ( 216.89)    9312.17 (  74.94)     ---   (  ---  )    7.21e-19        ---    ok
 7168  7168  7168   3211.20 ( 229.38)    9285.91 (  79.32)     ---   (  ---  )    9.37e-19        ---    ok
 7296  7296  7296   3031.57 ( 256.22)    9204.70 (  84.39)     ---   (  ---  )    9.43e-19        ---    ok
