% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 2g.12gb, 1440.0 MHz clock, 11968.0 MiB memory, capability 8.0
% Mon Mar 13 19:59:13 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
  128   128   128      7.97 (   0.53)      19.53 (   0.21)     ---   (  ---  )    0.00e+00        ---    ok
  256   256   256    246.91 (   0.14)     307.96 (   0.11)     ---   (  ---  )    0.00e+00        ---    ok
  384   384   384    572.28 (   0.20)     944.31 (   0.12)     ---   (  ---  )    0.00e+00        ---    ok
  512   512   512    780.25 (   0.34)    1466.02 (   0.18)     ---   (  ---  )    3.16e-18        ---    ok
  640   640   640   1063.36 (   0.49)    2000.93 (   0.26)     ---   (  ---  )    2.27e-18        ---    ok
  768   768   768   1104.63 (   0.82)    2248.47 (   0.40)     ---   (  ---  )    1.73e-18        ---    ok
  896   896   896   1316.34 (   1.09)    2740.29 (   0.52)     ---   (  ---  )    2.37e-18        ---    ok
 1024  1024  1024   1219.50 (   1.76)    2448.94 (   0.88)     ---   (  ---  )    2.00e-17        ---    ok
 1152  1152  1152   1325.41 (   2.31)    2610.89 (   1.17)     ---   (  ---  )    2.21e-17        ---    ok
 1280  1280  1280   1351.27 (   3.10)    2605.09 (   1.61)     ---   (  ---  )    2.26e-17        ---    ok
 1408  1408  1408   1377.77 (   4.05)    2767.75 (   2.02)     ---   (  ---  )    2.24e-17        ---    ok
 1536  1536  1536   1408.94 (   5.14)    2975.36 (   2.44)     ---   (  ---  )    1.22e-18        ---    ok
 1664  1664  1664   1403.41 (   6.57)    3025.21 (   3.05)     ---   (  ---  )    1.08e-18        ---    ok
 1792  1792  1792   1451.86 (   7.93)    2995.53 (   3.84)     ---   (  ---  )    1.74e-18        ---    ok
 1920  1920  1920   1422.26 (   9.95)    3144.29 (   4.50)     ---   (  ---  )    1.75e-18        ---    ok
 2048  2048  2048   1445.98 (  11.88)    3199.86 (   5.37)     ---   (  ---  )    1.59e-18        ---    ok
 2176  2176  2176   1436.10 (  14.35)    3194.38 (   6.45)     ---   (  ---  )    1.45e-18        ---    ok
 2304  2304  2304   1445.87 (  16.92)    3083.51 (   7.93)     ---   (  ---  )    1.33e-18        ---    ok
 2432  2432  2432   1454.51 (  19.78)    3231.00 (   8.90)     ---   (  ---  )    1.23e-18        ---    ok
 2560  2560  2560   1448.87 (  23.16)    3215.53 (  10.44)     ---   (  ---  )    1.14e-18        ---    ok
 2688  2688  2688   1471.96 (  26.39)    3271.05 (  11.87)     ---   (  ---  )    1.05e-18        ---    ok
 2816  2816  2816   1459.27 (  30.61)    3240.07 (  13.78)     ---   (  ---  )    9.85e-19        ---    ok
 2944  2944  2944   1468.72 (  34.75)    3262.52 (  15.64)     ---   (  ---  )    9.20e-19        ---    ok
 3072  3072  3072   1514.30 (  38.29)    3361.69 (  17.25)     ---   (  ---  )    8.64e-19        ---    ok
 3200  3200  3200   1516.65 (  43.21)    3366.70 (  19.47)     ---   (  ---  )    8.13e-19        ---    ok
 3328  3328  3328   1473.03 (  50.05)     763.95 (  96.50)     ---   (  ---  )    2.11e-17        ---    ok
 3456  3456  3456   2244.61 (  36.78)    4979.25 (  16.58)     ---   (  ---  )    8.00e-19        ---    ok
 3584  3584  3584   2263.64 (  40.67)    5029.42 (  18.31)     ---   (  ---  )    1.28e-18        ---    ok
 3712  3712  3712   1492.62 (  68.53)    3271.12 (  31.27)     ---   (  ---  )    1.30e-18        ---    ok
 3840  3840  3840   2258.51 (  50.14)    5020.92 (  22.55)     ---   (  ---  )    1.23e-18        ---    ok
 3968  3968  3968   1503.28 (  83.12)    3580.31 (  34.90)     ---   (  ---  )    1.18e-18        ---    ok
 4096  4096  4096   1776.98 (  77.34)    3942.26 (  34.86)     ---   (  ---  )    1.12e-18        ---    ok
 4224  4224  4224   2263.43 (  66.59)    5079.59 (  29.67)     ---   (  ---  )    1.07e-18        ---    ok
 4352  4352  4352   2258.39 (  73.00)    5024.15 (  32.81)     ---   (  ---  )    1.02e-18        ---    ok
 4480  4480  4480   2267.70 (  79.30)    5048.15 (  35.62)     ---   (  ---  )    9.80e-19        ---    ok
 4608  4608  4608   2261.26 (  86.54)    5031.76 (  38.89)     ---   (  ---  )    9.39e-19        ---    ok
 4736  4736  4736   2273.26 (  93.46)    5046.88 (  42.10)     ---   (  ---  )    9.01e-19        ---    ok
 4864  4864  4864   2266.70 ( 101.54)    5056.91 (  45.51)     ---   (  ---  )    8.67e-19        ---    ok
 4992  4992  4992   2265.71 ( 109.81)    5074.90 (  49.03)     ---   (  ---  )    8.33e-19        ---    ok
 5120  5120  5120   2268.93 ( 118.31)    5092.68 (  52.71)     ---   (  ---  )    8.02e-19        ---    ok
 5248  5248  5248   1641.49 ( 176.11)    5085.06 (  56.85)     ---   (  ---  )    7.74e-19        ---    ok
 5376  5376  5376   1762.99 ( 176.26)    5113.16 (  60.77)     ---   (  ---  )    7.45e-19        ---    ok
 5504  5504  5504   1574.38 ( 211.81)    5095.75 (  65.44)     ---   (  ---  )    7.20e-19        ---    ok
 5632  5632  5632   1769.17 ( 201.95)    5059.81 (  70.61)     ---   (  ---  )    6.95e-19        ---    ok
 5760  5760  5760   1663.86 ( 229.71)    5054.30 (  75.62)     ---   (  ---  )    6.73e-19        ---    ok
 5888  5888  5888   1727.09 ( 236.38)    5055.50 (  80.75)     ---   (  ---  )    6.50e-19        ---    ok
 6016  6016  6016   1749.94 ( 248.85)    5062.72 (  86.01)     ---   (  ---  )    6.30e-19        ---    ok
 6144  6144  6144   1750.49 ( 264.99)    5077.52 (  91.35)     ---   (  ---  )    6.11e-19        ---    ok
 6272  6272  6272   1890.01 ( 261.09)    5076.81 (  97.20)     ---   (  ---  )    5.92e-19        ---    ok
 6400  6400  6400   1817.69 ( 288.44)    5062.70 ( 103.56)     ---   (  ---  )    5.74e-19        ---    ok
 6528  6528  6528   1656.44 ( 335.89)    5065.91 ( 109.83)     ---   (  ---  )    5.57e-19        ---    ok
 6656  6656  6656   1813.61 ( 325.18)    5082.02 ( 116.05)     ---   (  ---  )    5.42e-19        ---    ok
 6784  6784  6784   1814.31 ( 344.17)    5089.24 ( 122.70)     ---   (  ---  )    5.26e-19        ---    ok
 6912  6912  6912   1867.05 ( 353.74)    5069.17 ( 130.29)     ---   (  ---  )    5.27e-19        ---    ok
 7040  7040  7040   1826.06 ( 382.15)    5064.83 ( 137.78)     ---   (  ---  )    7.21e-19        ---    ok
 7168  7168  7168   1884.26 ( 390.92)    5089.84 ( 144.72)     ---   (  ---  )    9.37e-19        ---    ok
 7296  7296  7296   1854.80 ( 418.78)    5082.02 ( 152.84)     ---   (  ---  )    9.43e-19        ---    ok
 7424  7424  7424   2076.29 ( 394.14)    5093.29 ( 160.67)     ---   (  ---  )    9.19e-19        ---    ok
 7552  7552  7552   1887.66 ( 456.34)    5092.71 ( 169.15)     ---   (  ---  )    8.96e-19        ---    ok
 7680  7680  7680   1897.52 ( 477.45)    5086.06 ( 178.13)     ---   (  ---  )    8.74e-19        ---    ok
 7808  7808  7808   1913.65 ( 497.49)    5096.34 ( 186.81)     ---   (  ---  )    8.52e-19        ---    ok
 7936  7936  7936   1929.52 ( 518.07)    5093.27 ( 196.26)     ---   (  ---  )    8.32e-19        ---    ok
 8064  8064  8064   2087.02 ( 502.52)    5106.88 ( 205.36)     ---   (  ---  )    8.12e-19        ---    ok
 8192  8192  8192   1980.44 ( 555.19)    5105.96 ( 215.34)     ---   (  ---  )    7.93e-19        ---    ok
 8320  8320  8320   2012.72 ( 572.29)    5106.89 ( 225.55)     ---   (  ---  )    7.75e-19        ---    ok
 8448  8448  8448   2064.85 ( 583.99)    5093.01 ( 236.76)     ---   (  ---  )    7.58e-19        ---    ok
 8576  8576  8576   2082.04 ( 605.89)    5099.86 ( 247.36)     ---   (  ---  )    7.41e-19        ---    ok
 8704  8704  8704   2070.12 ( 637.08)    5111.78 ( 258.00)     ---   (  ---  )    7.24e-19        ---    ok
 8832  8832  8832   2057.15 ( 669.79)    5115.64 ( 269.34)     ---   (  ---  )    7.08e-19        ---    ok
 8960  8960  8960   2049.44 ( 701.97)    5124.84 ( 280.72)     ---   (  ---  )    6.93e-19        ---    ok
 9088  9088  9088   2040.65 ( 735.64)    5106.39 ( 293.98)     ---   (  ---  )    6.78e-19        ---    ok
 9216  9216  9216   2053.51 ( 762.36)    5113.26 ( 306.17)     ---   (  ---  )    6.65e-19        ---    ok
 9344  9344  9344   2169.89 ( 751.95)    5109.16 ( 319.36)     ---   (  ---  )    6.51e-19        ---    ok
 9472  9472  9472   2181.09 ( 779.26)    5107.15 ( 332.79)     ---   (  ---  )    6.38e-19        ---    ok
 9600  9600  9600   2130.02 ( 830.73)    5108.72 ( 346.36)     ---   (  ---  )    6.25e-19        ---    ok
 9728  9728  9728   2184.94 ( 842.68)    5111.06 ( 360.24)     ---   (  ---  )    6.13e-19        ---    ok
 9856  9856  9856   2184.66 ( 876.49)    5116.68 ( 374.23)     ---   (  ---  )    6.00e-19        ---    ok
 9984  9984  9984   2135.23 ( 932.18)    5123.35 ( 388.50)     ---   (  ---  )    5.89e-19        ---    ok
10112 10112 10112   2218.81 ( 932.01)    5094.67 ( 405.91)     ---   (  ---  )    5.78e-19        ---    ok
10240 10240 10240   2254.53 ( 952.52)    5122.64 ( 419.21)     ---   (  ---  )    5.68e-19        ---    ok
